SNO,Mat Code,Heat No,Wagon No
1.0,3,60,26
2.0,3,59,26
3.0,3,59,26
4.0,4,56,10
5.0,3,65,10
6.0,3,56,10
7.0,3,34,10
8.0,3,34,10
9.0,3,36,10
10.0,4,60,10
11.0,3,60,10
12.0,3,59,10
13.0,3,65,10
14.0,3,34,10
15.0,3,44,0
16.0,3,44,0
17.0,4,45,0
18.0,3,45,0
19.0,3,44,0
20.0,3,65,0
21.0,4,44,0
22.0,3,41,0
23.0,3,45,0
24.0,3,44,0
25.0,0,1,16
26.0,0,5,16
27.0,0,16,16
28.0,4,5,16
29.0,0,5,16
30.0,0,16,16
31.0,0,16,16
32.0,0,65,16
33.0,0,16,16
34.0,0,16,16
35.0,0,0,16
36.0,0,26,36
37.0,0,25,36
38.0,4,65,36
39.0,0,25,36
40.0,0,26,36
41.0,0,26,36
42.0,0,65,36
43.0,4,25,36
44.0,0,26,36
45.0,0,26,36
46.0,3,42,1
47.0,3,65,1
48.0,4,42,1
49.0,3,65,1
50.0,3,42,1
51.0,3,42,1
52.0,3,61,1
53.0,3,42,1
54.0,3,65,1
55.0,3,59,1
56.0,3,42,1
57.0,3,42,11
58.0,4,41,11
59.0,3,41,11
60.0,3,65,11
61.0,3,41,11
62.0,3,41,11
63.0,4,41,11
64.0,3,41,11
65.0,3,65,11
66.0,3,41,11
67.0,0,17,32
68.0,0,17,32
69.0,0,20,32
70.0,0,20,32
71.0,0,17,32
72.0,0,19,32
73.0,4,19,32
74.0,0,20,32
75.0,0,19,32
76.0,0,21,32
77.0,0,27,17
78.0,0,65,17
79.0,0,27,17
80.0,0,65,17
81.0,4,27,17
82.0,0,27,17
83.0,0,26,17
84.0,4,27,17
85.0,0,26,17
86.0,0,27,17
87.0,3,58,3
88.0,3,58,3
89.0,3,65,3
90.0,3,65,3
91.0,3,60,3
92.0,4,60,3
93.0,3,60,3
94.0,4,58,3
95.0,3,58,3
96.0,3,58,3
97.0,3,61,24
98.0,3,35,24
99.0,3,61,24
100.0,3,31,24
101.0,3,35,24
102.0,3,31,24
103.0,3,31,24
104.0,3,61,24
105.0,3,31,24
106.0,4,60,24
107.0,4,25,27
108.0,0,25,27
109.0,0,65,27
110.0,0,25,27
111.0,0,8,27
112.0,0,25,27
113.0,4,18,27
114.0,0,8,27
115.0,0,8,27
116.0,0,25,27
117.0,0,8,27
118.0,3,59,37
119.0,3,59,37
120.0,3,65,37
121.0,4,59,37
122.0,3,59,37
123.0,3,31,37
124.0,3,59,37
125.0,3,65,37
126.0,3,59,37
127.0,3,65,37
128.0,3,59,37
129.0,0,16,30
130.0,0,2,30
131.0,0,5,30
132.0,0,16,30
133.0,0,2,30
134.0,4,2,30
135.0,0,4,30
136.0,3,58,2
137.0,3,60,2
138.0,3,59,2
139.0,3,58,2
140.0,3,65,2
141.0,3,58,2
142.0,3,65,2
143.0,3,58,2
144.0,3,58,2
145.0,3,58,2
146.0,3,61,2
147.0,4,45,26
148.0,3,59,26
149.0,3,59,26
150.0,3,65,26
151.0,3,59,26
152.0,3,60,26
153.0,3,60,26
154.0,2,49,25
155.0,2,65,25
156.0,2,65,25
157.0,2,65,25
158.0,2,49,25
159.0,4,49,25
160.0,2,49,25
161.0,2,49,25
162.0,2,65,25
163.0,2,49,25
164.0,2,49,25
165.0,2,49,25
166.0,0,19,41
167.0,0,65,41
168.0,0,19,41
169.0,0,21,41
170.0,0,65,41
171.0,0,21,41
172.0,4,28,41
173.0,0,28,41
174.0,0,29,41
175.0,0,28,41
176.0,0,28,41
177.0,1,6,42
178.0,1,6,42
179.0,1,7,42
180.0,1,6,42
181.0,1,65,42
182.0,1,6,42
183.0,1,6,42
184.0,2,50,29
185.0,2,50,29
186.0,2,65,29
187.0,4,50,29
188.0,2,40,29
189.0,3,37,4
190.0,3,30,4
191.0,3,30,4
192.0,3,30,4
193.0,3,37,4
194.0,3,30,4
195.0,4,30,4
196.0,3,37,4
197.0,3,37,4
198.0,4,39,8
199.0,2,65,8
200.0,2,39,8
201.0,2,47,8
202.0,2,39,8
203.0,2,46,8
204.0,2,39,8
205.0,2,39,8
206.0,4,65,8
207.0,2,39,8
208.0,2,39,8
209.0,2,39,8
210.0,2,46,8
211.0,2,39,8
212.0,2,46,8
213.0,4,46,8
214.0,2,50,14
215.0,2,50,14
216.0,2,50,14
217.0,2,65,14
218.0,4,50,14
219.0,2,65,14
220.0,2,50,14
221.0,2,65,14
222.0,2,50,14
223.0,2,50,14
224.0,2,50,14
225.0,2,50,14
226.0,2,50,14
227.0,2,50,14
228.0,4,65,14
229.0,2,50,14
230.0,2,51,20
231.0,4,48,20
232.0,2,48,20
233.0,2,62,20
234.0,2,48,20
235.0,2,62,20
236.0,2,48,20
237.0,2,48,20
238.0,2,62,20
239.0,2,62,20
