SNO,Mat Code,Heat No,Wagon No
1,4.7131E+14,23F01059,SER55070161847  
2,4.7131E+14,23F01058,SER55070161847  
3,4.7131E+14,23F01058,SER55070161847  
4,,23F01035,NCR94131810560  
5,4.7131E+14,,NCR94131810560  
6,4.7131E+14,23F01035,NCR94131810560  
7,4.7131E+14,23D00904,NCR94131810560  
8,4.7131E+14,23D00904,NCR94131810560  
9,4.7131E+14,23D00917,NCR94131810560  
10,,23F01059,NCR94131810560  
11,4.7131E+14,23F01059,NCR94131810560  
12,4.7131E+14,23F01058,NCR94131810560  
13,4.7131E+14,,NCR94131810560  
14,4.7131E+14,23D00904,NCR94131810560  
15,4.7131E+14,23E00914,ECOR56120642279 
16,4.7131E+14,23E00914,ECOR56120642279 
17,,23E00915,ECOR56120642279 
18,4.7131E+14,23E00915,ECOR56120642279 
19,4.7131E+14,23E00914,ECOR56120642279 
20,4.7131E+14,,ECOR56120642279 
21,,23E00914,ECOR56120642279 
22,4.7131E+14,23E00906,ECOR56120642279 
23,4.7131E+14,23E00915,ECOR56120642279 
24,4.7131E+14,23E00914,ECOR56120642279 
25,1.512E+14,2301945,SCR57091810261  
26,1.512E+14,2302550,SCR57091810261  
27,1.512E+14,2303183,SCR57091810261  
28,,2302550,SCR57091810261  
29,1.512E+14,2302550,SCR57091810261  
30,1.512E+14,2303183,SCR57091810261  
31,1.512E+14,2303183,SCR57091810261  
32,1.512E+14,,SCR57091810261  
33,1.512E+14,2303183,SCR57091810261  
34,1.512E+14,2303183,SCR57091810261  
35,1.512E+14,2301940,SCR57091810261  
36,1.512E+14,2303295,SER94072310525  
37,1.512E+14,2303292,SER94072310525  
38,,,SER94072310525  
39,1.512E+14,2303292,SER94072310525  
40,1.512E+14,2303295,SER94072310525  
41,1.512E+14,2303295,SER94072310525  
42,1.512E+14,,SER94072310525  
43,,2303292,SER94072310525  
44,1.512E+14,2303295,SER94072310525  
45,1.512E+14,2303295,SER94072310525  
46,4.7131E+14,23E00910,ECOR94122111607 
47,4.7131E+14,,ECOR94122111607 
48,,23E00910,ECOR94122111607 
49,4.7131E+14,,ECOR94122111607 
50,4.7131E+14,23E00910,ECOR94122111607 
51,4.7131E+14,23E00910,ECOR94122111607 
52,4.7131E+14,23F01060,ECOR94122111607 
53,4.7131E+14,23E00910,ECOR94122111607 
54,4.7131E+14,,ECOR94122111607 
55,4.7131E+14,23F01058,ECOR94122111607 
56,4.7131E+14,23E00910,ECOR94122111607 
57,4.7131E+14,23E00910,NER55040260488  
58,,23E00906,NER55040260488  
59,4.7131E+14,23E00906,NER55040260488  
60,4.7131E+14,,NER55040260488  
61,4.7131E+14,23E00906,NER55040260488  
62,4.7131E+14,23E00906,NER55040260488  
63,,23E00906,NER55040260488  
64,4.7131E+14,23E00906,NER55040260488  
65,4.7131E+14,,NER55040260488  
66,4.7131E+14,23E00906,NER55040260488  
67,1.512E+14,2303247,SER94072310471  
68,1.512E+14,2303247,SER94072310471  
69,1.512E+14,2303264,SER94072310471  
70,1.512E+14,2303264,SER94072310471  
71,1.512E+14,2303247,SER94072310471  
72,1.512E+14,2303258,SER94072310471  
73,,2303258,SER94072310471  
74,1.512E+14,2303264,SER94072310471  
75,1.512E+14,2303258,SER94072310471  
76,1.512E+14,2303282,SER94072310471  
77,1.512E+14,2303299,SCR94091710115  
78,1.512E+14,,SCR94091710115  
79,1.512E+14,2303299,SCR94091710115  
80,1.512E+14,,SCR94091710115  
81,,2303299,SCR94091710115  
82,1.512E+14,2303299,SCR94091710115  
83,1.512E+14,2303295,SCR94091710115  
84,,2303299,SCR94091710115  
85,1.512E+14,2303295,SCR94091710115  
86,1.512E+14,2303299,SCR94091710115  
87,4.7131E+14,23F01057,ER55020120351   
88,4.7131E+14,23F01057,ER55020120351   
89,4.7131E+14,,ER55020120351   
90,4.7131E+14,,ER55020120351   
91,4.7131E+14,23F01059,ER55020120351   
92,,23F01059,ER55020120351   
93,4.7131E+14,23F01059,ER55020120351   
94,,23F01057,ER55020120351   
95,4.7131E+14,23F01057,ER55020120351   
96,4.7131E+14,23F01057,ER55020120351   
97,4.7131E+14,23F01060,SECR94141593118 
98,4.7131E+14,23D00905,SECR94141593118 
99,4.7131E+14,23F01060,SECR94141593118 
100,4.7131E+14,23D00896,SECR94141593118 
101,4.7131E+14,23D00905,SECR94141593118 
102,4.7131E+14,23D00896,SECR94141593118 
103,4.7131E+14,23D00896,SECR94141593118 
104,4.7131E+14,23F01060,SECR94141593118 
105,4.7131E+14,23D00896,SECR94141593118 
106,,23F01059,SECR94141593118 
107,,2303292,SER55079960861  
108,1.512E+14,2303292,SER55079960861  
109,1.512E+14,,SER55079960861  
110,1.512E+14,2303292,SER55079960861  
111,1.512E+14,2302932,SER55079960861  
112,1.512E+14,2303292,SER55079960861  
113,,2303249,SER55079960861  
114,1.512E+14,2302932,SER55079960861  
115,1.512E+14,2302932,SER55079960861  
116,1.512E+14,2303292,SER55079960861  
117,1.512E+14,2302932,SER55079960861  
118,4.7131E+14,23F01058,SER94072310532  
119,4.7131E+14,23F01058,SER94072310532  
120,4.7131E+14,,SER94072310532  
121,,23F01058,SER94072310532  
122,4.7131E+14,23F01058,SER94072310532  
123,4.7131E+14,23D00896,SER94072310532  
124,4.7131E+14,23F01058,SER94072310532  
125,4.7131E+14,,SER94072310532  
126,4.7131E+14,23F01058,SER94072310532  
127,4.7131E+14,,SER94072310532  
128,4.7131E+14,23F01058,SER94072310532  
129,1.512E+14,2303183,SER94071576359  
130,1.512E+14,2301985,SER94071576359  
131,1.512E+14,2302550,SER94071576359  
132,1.512E+14,2303183,SER94071576359  
133,1.512E+14,2301985,SER94071576359  
134,,2301985,SER94071576359  
135,1.512E+14,2302485,SER94071576359  
136,4.7131E+14,23F01057,ECR94101711071  
137,4.7131E+14,23F01059,ECR94101711071  
138,4.7131E+14,23F01058,ECR94101711071  
139,4.7131E+14,23F01057,ECR94101711071  
140,4.7131E+14,,ECR94101711071  
141,4.7131E+14,23F01057,ECR94101711071  
142,4.7131E+14,,ECR94101711071  
143,4.7131E+14,23F01057,ECR94101711071  
144,4.7131E+14,23F01057,ECR94101711071  
145,4.7131E+14,23F01057,ECR94101711071  
146,4.7131E+14,23F01060,ECR94101711071  
147,,23E00915,SER55070161847  
148,4.7131E+14,23F01058,SER55070161847  
149,4.7131E+14,23F01058,SER55070161847  
150,4.7131E+14,,SER55070161847  
151,4.7131E+14,23F01058,SER55070161847  
152,4.7131E+14,23F01059,SER55070161847  
153,4.7131E+14,23F01059,SER55070161847  
154,4.511E+14,23E00994,SER55070063691  
155,4.511E+14,,SER55070063691  
156,4.511E+14,,SER55070063691  
157,4.511E+14,,SER55070063691  
158,4.511E+14,23E00994,SER55070063691  
