Mat Code,Wagon No,Group
1.0,SER55070161847  ,1
1.0,SER55070161847  ,1
1.0,SER55070161847  ,1
,NCR94131810560  ,1
1.0,NCR94131810560  ,1
1.0,NCR94131810560  ,1
1.0,NCR94131810560  ,1
1.0,NCR94131810560  ,1
1.0,NCR94131810560  ,1
1.0,NCR94131810560  ,1
1.0,NCR94131810560  ,2
1.0,NCR94131810560  ,2
1.0,NCR94131810560  ,2
,NCR94131810560  ,2
1.0,ECOR56120642279 ,2
1.0,ECOR56120642279 ,2
1.0,ECOR56120642279 ,2
,ECOR56120642279 ,2
1.0,ECOR56120642279 ,2
1.0,ECOR56120642279 ,2
1.0,ECOR56120642279 ,3
1.0,ECOR56120642279 ,3
1.0,ECOR56120642279 ,3
1.0,ECOR56120642279 ,3
2.0,SCR57091810261  ,3
2.0,SCR57091810261  ,3
2.0,SCR57091810261  ,3
,SCR57091810261  ,3
,SCR57091810261  ,3
2.0,SCR57091810261  ,3
,SCR57091810261  ,4
2.0,SCR57091810261  ,4
2.0,SCR57091810261  ,4
2.0,SCR57091810261  ,4
,SCR57091810261  ,4
2.0,SER94072310525  ,4
2.0,SER94072310525  ,4
2.0,SER94072310525  ,4
2.0,SER94072310525  ,4
2.0,SER94072310525  ,4
2.0,SER94072310525  ,5
2.0,SER94072310525  ,5
2.0,SER94072310525  ,5
2.0,SER94072310525  ,5
2.0,SER94072310525  ,5
,ECOR94122111607 ,5
1.0,ECOR94122111607 ,5
1.0,ECOR94122111607 ,5
1.0,ECOR94122111607 ,5
1.0,ECOR94122111607 ,5
1.0,ECOR94122111607 ,6
,ECOR94122111607 ,6
1.0,ECOR94122111607 ,6
,ECOR94122111607 ,6
1.0,ECOR94122111607 ,6
,ECOR94122111607 ,6
,NER55040260488  ,6
1.0,NER55040260488  ,6
1.0,NER55040260488  ,6
,NER55040260488  ,6
1.0,NER55040260488  ,7
1.0,NER55040260488  ,7
1.0,NER55040260488  ,7
1.0,NER55040260488  ,7
1.0,NER55040260488  ,7
1.0,NER55040260488  ,7
2.0,SER94072310471  ,7
,SER94072310471  ,7
2.0,SER94072310471  ,7
2.0,SER94072310471  ,7
2.0,SER94072310471  ,8
2.0,SER94072310471  ,8
,SER94072310471  ,8
2.0,SER94072310471  ,8
,SER94072310471  ,8
