Mat Code,Wagon No
471310010332500,SER55070161847  
471310010332500,SER55070161847  
471310010332500,SER55070161847  
471310010332500,NCR94131810560  
471310010332500,NCR94131810560  
471310010332500,NCR94131810560  
471310010332500,NCR94131810560  
471310010332500,NCR94131810560  
471310010332500,NCR94131810560  
471310010332500,NCR94131810560  
471310010332500,NCR94131810560  
471310010332500,NCR94131810560  
471310010332500,NCR94131810560  
471310010332500,NCR94131810560  
471310010332500,ECOR56120642279 
471310010332500,ECOR56120642279 
471310010332500,ECOR56120642279 
471310010332500,ECOR56120642279 
471310010332500,ECOR56120642279 
471310010332500,ECOR56120642279 
471310010332500,ECOR56120642279 
471310010332500,ECOR56120642279 
471310010332500,ECOR56120642279 
471310010332500,ECOR56120642279 
151200025800300,SCR57091810261  
151200025800300,SCR57091810261  
151200025800300,SCR57091810261  
151200025800300,SCR57091810261  
151200025800300,SCR57091810261  
151200025800300,SCR57091810261  
151200025800300,SCR57091810261  
151200025800300,SCR57091810261  
151200025800300,SCR57091810261  
151200025800300,SCR57091810261  
151200025800300,SCR57091810261  
151200025800300,SER94072310525  
151200025800300,SER94072310525  
151200025800300,SER94072310525  
151200025800300,SER94072310525  
151200025800300,SER94072310525  
151200025800300,SER94072310525  
151200025800300,SER94072310525  
151200025800300,SER94072310525  
151200025800300,SER94072310525  
151200025800300,SER94072310525  
471310010332500,ECOR94122111607 
471310010332500,ECOR94122111607 
471310010332500,ECOR94122111607 
471310010332500,ECOR94122111607 
471310010332500,ECOR94122111607 
471310010332500,ECOR94122111607 
471310010332500,ECOR94122111607 
471310010332500,ECOR94122111607 
471310010332500,ECOR94122111607 
471310010332500,ECOR94122111607 
471310010332500,ECOR94122111607 
471310010332500,NER55040260488  
471310010332500,NER55040260488  
471310010332500,NER55040260488  
471310010332500,NER55040260488  
471310010332500,NER55040260488  
471310010332500,NER55040260488  
471310010332500,NER55040260488  
471310010332500,NER55040260488  
471310010332500,NER55040260488  
471310010332500,NER55040260488  
151200025800300,SER94072310471  
151200025800300,SER94072310471  
151200025800300,SER94072310471  
151200025800300,SER94072310471  
151200025800300,SER94072310471  
151200025800300,SER94072310471  
151200025800300,SER94072310471  
151200025800300,SER94072310471  
151200025800300,SER94072310471  
151200025800300,SER94072310471  
151200025800300,SCR94091710115  
151200025800300,SCR94091710115  
151200025800300,SCR94091710115  
151200025800300,SCR94091710115  
151200025800300,SCR94091710115  
151200025800300,SCR94091710115  
151200025800300,SCR94091710115  
151200025800300,SCR94091710115  
151200025800300,SCR94091710115  
151200025800300,SCR94091710115  
471310010332500,ER55020120351   
471310010332500,ER55020120351   
471310010332500,ER55020120351   
471310010332500,ER55020120351   
471310010332500,ER55020120351   
471310010332500,ER55020120351   
471310010332500,ER55020120351   
471310010332500,ER55020120351   
471310010332500,ER55020120351   
471310010332500,ER55020120351   
471310010332500,SECR94141593118 
471310010332500,SECR94141593118 
471310010332500,SECR94141593118 
471310010332500,SECR94141593118 
471310010332500,SECR94141593118 
471310010332500,SECR94141593118 
471310010332500,SECR94141593118 
471310010332500,SECR94141593118 
471310010332500,SECR94141593118 
471310010332500,SECR94141593118 
151200025800300,SER55079960861  
151200025800300,SER55079960861  
151200025800300,SER55079960861  
151200025800300,SER55079960861  
151200025800300,SER55079960861  
151200025800300,SER55079960861  
151200025800300,SER55079960861  
151200025800300,SER55079960861  
151200025800300,SER55079960861  
151200025800300,SER55079960861  
151200025800300,SER55079960861  
471310010332500,SER94072310532  
471310010332500,SER94072310532  
471310010332500,SER94072310532  
471310010332500,SER94072310532  
471310010332500,SER94072310532  
471310010332500,SER94072310532  
471310010332500,SER94072310532  
471310010332500,SER94072310532  
471310010332500,SER94072310532  
471310010332500,SER94072310532  
471310010332500,SER94072310532  
151200025800300,SER94071576359  
151200025800300,SER94071576359  
151200025800300,SER94071576359  
151200025800300,SER94071576359  
151200025800300,SER94071576359  
151200025800300,SER94071576359  
151200025800300,SER94071576359  
471310010332500,ECR94101711071  
471310010332500,ECR94101711071  
471310010332500,ECR94101711071  
471310010332500,ECR94101711071  
471310010332500,ECR94101711071  
471310010332500,ECR94101711071  
471310010332500,ECR94101711071  
471310010332500,ECR94101711071  
471310010332500,ECR94101711071  
471310010332500,ECR94101711071  
471310010332500,ECR94101711071  
471310010332500,SER55070161847  
471310010332500,SER55070161847  
471310010332500,SER55070161847  
471310010332500,SER55070161847  
471310010332500,SER55070161847  
471310010332500,SER55070161847  
471310010332500,SER55070161847  
451100032330200,SER55070063691  
451100032330200,SER55070063691  
451100032330200,SER55070063691  
451100032330200,SER55070063691  
451100032330200,SER55070063691  
451100032330200,SER55070063691  
451100032330200,SER55070063691  
451100032330200,SER55070063691  
451100032330200,SER55070063691  
451100032330200,SER55070063691  
451100032330200,SER55070063691  
451100032330200,SER55070063691  
151200025800300,SR94061711098   
151200025800300,SR94061711098   
151200025800300,SR94061711098   
151200025800300,SR94061711098   
151200025800300,SR94061711098   
151200025800300,SR94061711098   
151200025800300,SR94061711098   
151200025800300,SR94061711098   
151200025800300,SR94061711098   
151200025800300,SR94061711098   
151200025800300,SR94061711098   
171407777410100,WCR94161351484  
171407777410100,WCR94161351484  
171407777410100,WCR94161351484  
171407777410100,WCR94161351484  
171407777410100,WCR94161351484  
171407777410100,WCR94161351484  
171407777410100,WCR94161351484  
451100032400300,SER94071359136  
451100032400300,SER94071359136  
451100032400300,SER94071359136  
451100032400300,SER94071359136  
451100032400300,SER94071359136  
471310008332500,ER55020160470   
471310008332500,ER55020160470   
471310008332500,ER55020160470   
471310008332500,ER55020160470   
471310008332500,ER55020160470   
471310008332500,ER55020160470   
471310008332500,ER55020160470   
471310008332500,ER55020160470   
471310008332500,ER55020160470   
451100032330200,NCR94131363325  
451100032330200,NCR94131363325  
451100032330200,NCR94131363325  
451100032330200,NCR94131363325  
451100032330200,NCR94131363325  
451100032330200,NCR94131363325  
451100032330200,NCR94131363325  
451100032330200,NCR94131363325  
451100032330200,NCR94131363325  
451100032330200,NCR94131363325  
451100032330200,NCR94131363325  
451100032330200,NCR94131363325  
451100032330200,NCR94131363325  
451100032330200,NCR94131363325  
451100032330200,NCR94131363325  
451100032330200,NCR94131363325  
451100032400300,NR94031810400   
451100032400300,NR94031810400   
451100032400300,NR94031810400   
451100032400300,NR94031810400   
451100032400300,NR94031810400   
451100032400300,NR94031810400   
451100032400300,NR94031810400   
451100032400300,NR94031810400   
451100032400300,NR94031810400   
451100032400300,NR94031810400   
451100032400300,NR94031810400   
451100032400300,NR94031810400   
451100032400300,NR94031810400   
451100032400300,NR94031810400   
451100032400300,NR94031810400   
451100032400300,NR94031810400   
451100025330200,SECR57140324077 
451100025330200,SECR57140324077 
