Mat Code,Wagon No,Group
1.0,1,1
1.0,1,1
1.0,1,1
1.0,2,1
1.0,2,1
1.0,2,1
1.0,2,1
1.0,2,1
1.0,2,1
1.0,2,1
1.0,2,2
1.0,2,2
1.0,2,2
1.0,2,2
1.0,3,2
1.0,3,2
1.0,3,2
1.0,3,2
1.0,3,2
1.0,3,2
1.0,3,3
1.0,3,3
1.0,3,3
1.0,3,3
2.0,4,3
2.0,4,3
2.0,4,3
2.0,4,3
2.0,4,3
2.0,4,3
2.0,4,4
2.0,4,4
2.0,4,4
2.0,4,4
2.0,4,4
2.0,5,4
2.0,5,4
2.0,5,4
2.0,5,4
2.0,5,4
2.0,5,5
2.0,5,5
2.0,5,5
2.0,5,5
2.0,5,5
1.0,6,5
1.0,6,5
1.0,6,5
1.0,6,5
1.0,6,5
1.0,6,6
1.0,6,6
1.0,6,6
1.0,6,6
1.0,6,6
1.0,6,6
1.0,7,6
1.0,7,6
1.0,7,6
1.0,7,6
1.0,7,7
1.0,7,7
1.01,7,7
1.0,7,7
1.0,7,7
1.0,7,7
1.96,8,7
2.0,8,7
2.0,8,7
1.96,8,7
2.0,8,8
2.0,8,8
2.0,8,8
2.0,8,8
2.0,8,8
2.0,8,8
2.0,9,8
2.0,9,8
2.0,9,8
2.0,9,8
1.88,9,9
1.88,9,9
1.88,9,9
1.88,9,9
1.88,9,9
2.0,9,9
1.0,10,9
1.0,10,9
1.0,10,9
1.0,10,9
1.0,10,10
1.0,10,10
1.0,10,10
1.0,10,10
1.0,10,10
1.0,10,10
1.0,11,10
1.0,11,10
1.0,11,10
1.0,11,10
1.0,11,11
1.0,11,11
1.0,11,11
1.0,11,11
1.0,11,11
1.0,11,11
2.0,12,11
2.0,12,11
1.92,12,11
2.0,12,11
2.0,12,12
2.0,12,12
2.0,12,12
2.0,12,12
2.0,12,12
2.0,12,12
2.0,12,12
1.0,13,12
1.0,13,12
1.0,13,12
1.0,13,13
1.0,13,13
1.0,13,13
1.0,13,13
1.0,13,13
1.0,13,13
1.0,13,13
1.0,13,13
