SNO,Indent No,Mat Code,Heat No,Wagon No,Bundle No
1,230672,4.71E+14,23F01059,SER55070161847  ,47B0000443389
2,230672,4.71E+14,23F01058,SER55070161847  ,47B0000443378
3,230672,4.71E+14,23F01058,SER55070161847  ,47B0000443382
4,230672,4.71E+14,23F01035,NCR94131810560  ,47B0000443847
5,230672,4.71E+14,,NCR94131810560  ,47B0000443849
6,230672,4.71E+14,23F01035,NCR94131810560  ,47B0000443845
7,230672,4.71E+14,23D00904,NCR94131810560  ,47B0000443502
8,230672,4.71E+14,23D00904,NCR94131810560  ,47B0000443501
9,230672,4.71E+14,23D00917,NCR94131810560  ,47B0000443853
10,230672,4.71E+14,23F01059,NCR94131810560  ,47B0000443388
11,230672,4.71E+14,23F01059,NCR94131810560  ,47B0000443387
12,230672,4.71E+14,23F01058,NCR94131810560  ,47B0000443383
13,230672,4.71E+14,,NCR94131810560  ,47B0000443385
14,230672,4.71E+14,23D00904,NCR94131810560  ,47B0000443506
15,230672,4.71E+14,23E00914,ECOR56120642279 ,47B0000442827
16,230672,4.71E+14,23E00914,ECOR56120642279 ,47B0000442825
17,230672,4.71E+14,23E00915,ECOR56120642279 ,47B0000442814
18,230672,4.71E+14,23E00915,ECOR56120642279 ,47B0000442812
19,230672,4.71E+14,23E00914,ECOR56120642279 ,47B0000442821
20,230672,4.71E+14,,ECOR56120642279 ,47B0000442820
21,230672,4.71E+14,23E00914,ECOR56120642279 ,47B0000442823
22,230672,4.71E+14,23E00906,ECOR56120642279 ,47B0000442959
23,230672,4.71E+14,23E00915,ECOR56120642279 ,47B0000442816
24,230672,4.71E+14,23E00914,ECOR56120642279 ,47B0000442822
25,230672,1.51E+14,2301945,SCR57091810261  ,15M2000229512
26,230672,1.51E+14,2302550,SCR57091810261  ,15M2000229513
27,230672,1.51E+14,2303183,SCR57091810261  ,15M1000260638
28,230672,1.51E+14,2302550,SCR57091810261  ,15M2000229515
29,230672,1.51E+14,2302550,SCR57091810261  ,15M2000229516
30,230672,1.51E+14,2303183,SCR57091810261  ,15M1000260634
31,230672,1.51E+14,2303183,SCR57091810261  ,15M1000260633
32,230672,1.51E+14,,SCR57091810261  ,15M1000260635
33,230672,1.51E+14,2303183,SCR57091810261  ,15M1000260636
34,230672,1.51E+14,2303183,SCR57091810261  ,15M1000260637
35,230672,1.51E+14,2301940,SCR57091810261  ,15M1000260642
36,230672,1.51E+14,2303295,SER94072310525  ,15M1000261234
37,230672,1.51E+14,,SER94072310525  ,15M1000261229
38,230672,1.51E+14,2303292,SER94072310525  ,15M1000261230
39,230672,1.51E+14,2303292,SER94072310525  ,15M1000261232
40,230672,1.51E+14,2303295,SER94072310525  ,15M1000261233
41,230672,1.51E+14,2303295,SER94072310525  ,15M1000261235
42,230672,1.51E+14,2303295,SER94072310525  ,15M1000261236
43,230672,1.51E+14,2303292,SER94072310525  ,15M1000261231
44,230672,1.51E+14,2303295,SER94072310525  ,15M1000261238
45,230672,1.51E+14,2303295,SER94072310525  ,15M1000261237
46,230672,4.71E+14,23E00910,ECOR94122111607 ,47B0000442968
47,230672,4.71E+14,23E00910,ECOR94122111607 ,47B0000442974
48,230672,4.71E+14,23E00910,ECOR94122111607 ,47B0000442972
49,230672,4.71E+14,23E00910,ECOR94122111607 ,47B0000442976
50,230672,4.71E+14,23E00910,ECOR94122111607 ,47B0000442966
51,230672,4.71E+14,23E00910,ECOR94122111607 ,47B0000442977
52,230672,4.71E+14,23F01060,ECOR94122111607 ,47B0000443444
53,230672,4.71E+14,,ECOR94122111607 ,47B0000442971
54,230672,4.71E+14,23E00910,ECOR94122111607 ,47B0000442980
55,230672,4.71E+14,23F01058,ECOR94122111607 ,47B0000443364
56,230672,4.71E+14,23E00910,ECOR94122111607 ,47B0000442975
57,230672,4.71E+14,23E00910,NER55040260488  ,47B0000442973
